"lon","lat","X01_01_2006"
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0345,41.2791,275.800018310547
-70.0345,41.2791,275.800018310547
-70.0345,41.2791,275.800018310547
-70.0345,41.2791,275.800018310547
-70.0345,41.2791,275.800018310547
-70.0345,41.2791,275.800018310547
-70.0345,41.2791,275.800018310547
-70.0345,41.2791,275.800018310547
-70.0345,41.2791,275.800018310547
-70.0345,41.2791,275.800018310547
-70.0036,41.3198,275.800018310547
-69.9878,41.2751,275.700012207031
-70.0196,41.2643,275.800018310547
-70.0196,41.2643,275.800018310547
-70.0485,41.2544,275.899993896484
-70.1773,41.2659,275.700012207031
-70.1645,41.2574,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1613,41.2584,275.800018310547
-70.1567,41.2598,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1614,41.2586,275.800018310547
-70.1645,41.2574,275.800018310547
-70.1567,41.2598,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1567,41.2598,275.800018310547
-70.0858,41.2664,275.899993896484
-70.0264,41.2739,275.800018310547
-70.0264,41.2739,275.800018310547
-70.1217,41.2488,275.800018310547
-70.0036,41.3198,275.800018310547
-70.0311,41.2813,275.800018310547
-70.0813,41.2583,275.899993896484
-70.0215,41.262,275.800018310547
-70.1614,41.2586,275.800018310547
-70.0211,41.2621,275.800018310547
-70.0212,41.262,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1645,41.2574,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1645,41.2574,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1567,41.2598,275.800018310547
-70.0311,41.2813,275.800018310547
-70.0311,41.2813,275.800018310547
-70.0264,41.2739,275.800018310547
-70.1614,41.2586,275.800018310547
-70.1613,41.2584,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1645,41.2574,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1217,41.2488,275.800018310547
-70.0813,41.2583,275.899993896484
-70.0311,41.2813,275.800018310547
-70.0036,41.3198,275.800018310547
-70.0212,41.262,275.800018310547
-70.0211,41.2621,275.800018310547
-70.0485,41.2544,275.899993896484
-69.9878,41.2751,275.700012207031
-70.0036,41.3198,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1613,41.2584,275.800018310547
-70.1645,41.2574,275.800018310547
-70.1567,41.2598,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1645,41.2574,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1217,41.2488,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1614,41.2586,275.800018310547
-70.0264,41.2739,275.800018310547
-70.0036,41.3198,275.800018310547
-70.0813,41.2583,275.899993896484
-70.0201,41.2644,275.800018310547
-70.0201,41.2644,275.800018310547
-70.0311,41.2813,275.800018310547
-70.0311,41.2813,275.800018310547
-70.0196,41.2643,275.800018310547
-70.2679,41.3049,275.399993896484
-69.9878,41.2751,275.700012207031
-70.0311,41.2813,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1613,41.2584,275.800018310547
-70.1614,41.2586,275.800018310547
-70.0485,41.2544,275.899993896484
-70.1567,41.2598,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1645,41.2574,275.800018310547
-70.1613,41.2584,275.800018310547
-70.0311,41.2813,275.800018310547
-70.3071,41.3362,275.300018310547
-70.0036,41.3198,275.800018310547
-70.0036,41.3198,275.800018310547
-70.1217,41.2488,275.800018310547
-70.0813,41.2583,275.899993896484
-70.0311,41.2813,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1614,41.2586,275.800018310547
-70.1613,41.2584,275.800018310547
-70.1645,41.2574,275.800018310547
-70.1567,41.2598,275.800018310547
-70.0264,41.2739,275.800018310547
-70.0311,41.2813,275.800018310547
-70.0036,41.3198,275.800018310547
-70.0264,41.2739,275.800018310547
-70.1217,41.2488,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1567,41.2598,275.800018310547
-70.0036,41.3198,275.800018310547
-70.1567,41.2598,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1613,41.2584,275.800018310547
-70.0311,41.2813,275.800018310547
-70.0813,41.2583,275.899993896484
-70.0264,41.2739,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1217,41.2488,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1567,41.2598,275.800018310547
-70.0813,41.2583,275.899993896484
